id1,id2,TYPE
108,20399,发表
108,20400,发表
108,20401,发表
108,20402,发表
108,20403,发表
108,20404,发表
108,20405,发表
108,20406,发表
108,20407,发表
108,20408,发表
110,20409,发表
110,20410,发表
110,20411,发表
110,20412,发表
110,20413,发表
110,20414,发表
110,20415,发表
110,20416,发表
110,20417,发表
110,20418,发表
110,20419,发表
110,20420,发表
110,20421,发表
110,20422,发表
110,20423,发表
110,20424,发表
110,20425,发表
110,20426,发表
110,20427,发表
110,20428,发表
110,20429,发表
110,20430,发表
110,20431,发表
110,20432,发表
110,20433,发表
110,20434,发表
110,20435,发表
110,20436,发表
110,20437,发表
110,20438,发表
110,20439,发表
110,20440,发表
110,20441,发表
110,20442,发表
110,20443,发表
110,20444,发表
110,20445,发表
110,20446,发表
110,20447,发表
110,20448,发表
110,20449,发表
110,20450,发表
110,20451,发表
110,20452,发表
110,20453,发表
110,20454,发表
110,20455,发表
110,20456,发表
110,20457,发表
110,20458,发表
110,20459,发表
110,20460,发表
110,20461,发表
110,20462,发表
110,20463,发表
110,20464,发表
110,20465,发表
110,20466,发表
110,20467,发表
110,20468,发表
110,20469,发表
110,20470,发表
110,20471,发表
110,20472,发表
109,20473,发表
109,20474,发表
109,20475,发表
109,20476,发表
109,20477,发表
109,20478,发表
109,20479,发表
109,20480,发表
109,20481,发表
109,20482,发表
109,20483,发表
109,20484,发表
109,20485,发表
109,20486,发表
109,20487,发表
109,20488,发表
109,20489,发表
109,20490,发表
109,20491,发表
109,20492,发表
109,20493,发表
109,20494,发表
109,20495,发表
109,20496,发表
109,20497,发表
109,20498,发表
109,20499,发表
109,20500,发表
109,20501,发表
109,20502,发表
109,20503,发表
109,20504,发表
109,20505,发表
109,20506,发表
109,20507,发表
109,20508,发表
109,20509,发表
109,20510,发表
109,20511,发表
109,20512,发表
109,20513,发表
109,20514,发表
109,20515,发表
109,20516,发表
109,20517,发表
109,20518,发表
109,20519,发表
109,20520,发表
109,20521,发表
109,20522,发表
109,20523,发表
109,20524,发表
109,20525,发表
109,20526,发表
109,20527,发表
109,20528,发表
109,20529,发表
109,20530,发表
109,20531,发表
109,20532,发表
109,20533,发表
109,20534,发表
109,20535,发表
109,20536,发表
109,20537,发表
109,20538,发表
109,20539,发表
109,20540,发表
109,20541,发表
109,20542,发表
109,20543,发表
109,20544,发表
109,20545,发表
109,20546,发表
109,20547,发表
109,20548,发表
109,20549,发表
109,20550,发表
109,20551,发表
109,20552,发表
109,20553,发表
109,20554,发表
109,20555,发表
109,20556,发表
109,20557,发表
109,20558,发表
109,20559,发表
109,20560,发表
109,20561,发表
109,20562,发表
109,20563,发表
109,20564,发表
101,20565,发表
101,20566,发表
101,20567,发表
101,20568,发表
101,20569,发表
101,20570,发表
101,20571,发表
101,20572,发表
101,20573,发表
101,20574,发表
101,20575,发表
101,20576,发表
101,20577,发表
101,20578,发表
101,20579,发表
101,20580,发表
101,20581,发表
101,20582,发表
101,20583,发表
101,20584,发表
101,20585,发表
101,20586,发表
101,20587,发表
101,20588,发表
101,20589,发表
101,20590,发表
101,20591,发表
101,20592,发表
101,20593,发表
101,20594,发表
101,20595,发表
101,20596,发表
101,20597,发表
101,20598,发表
101,20599,发表
