id,name,TYPE
101,北京市畜禽健康养殖环境工程技术研究中心,所在单位
102,中国农业科学院北京畜牧兽医研究所,所在单位
103,中国农业科学院北京畜牧兽医研究所,所在单位
104,中国农业大学,所在单位
105,中国农业科学院北京畜牧兽医研究所,所在单位
106,湖南省畜牧研究所,所在单位
107,湖南农业大学,所在单位
108,中国农业大学,所在单位
109,中国农业科学院北京畜牧兽医研究所,所在单位
110,中国农业科学院北京畜牧兽医研究所,所在单位
